integrante,kata,tratamento,sequencia,periodo,concluido,casos_aprovados,total_casos,status_testes,python,ide,assistente,modelo,familiaridade_python,exposicao_previa,commit_suite,observacoes
JoseMiguel,ReposicaoEstoque,COM_IA,,,True,26,26,APROVADO,3.13.12,Terminal (Claude Code),Claude Code,claude-sonnet-5,"1 a 1,5 anos de uso","Parcial: nao e autor do kata, mas pode ter visto o enunciado/contrato nesta mesma sessao ao criar os katas C/D espelhados","9866b41","Sequencia formal S1-S4 ainda nao foi sorteada pelo grupo (ordem ad hoc); assistente tinha acesso ao repositorio completo (PROTOCOLO.md e suite de todos os katas), sem isolamento por conversa nova so com o kata corrente; tempo registrado em tempos_trials.csv e muito curto para tempo humano real de leitura/prompt/revisao, refletindo geracao quase instantanea da solucao; tentativa anterior com ConsumoEnergetico foi descartada por exposicao previa do integrante (autor do kata), que ficara para tratamento SEM_IA"
JoseMiguel,ExcessoBagagem,COM_IA,,,True,26,26,APROVADO,3.13.12,Terminal (Claude Code),Claude Code,claude-sonnet-5,"1 a 1,5 anos de uso","Parcial: nao e autor do kata, mas pode ter visto o enunciado/contrato nesta mesma sessao ao criar os katas C/D espelhados","9866b41","Segundo trial da mesma sessao; mesmas ressalvas do trial de ReposicaoEstoque (sequencia ad hoc, assistente com acesso irrestrito ao repositorio, tempo nao representativo de fluxo humano com IA)"
JoseMiguel,ConsumoEnergetico,SEM_IA,,,True,26,26,APROVADO,3.13.12,VSCode,NA,NA,"1 a 1,5 anos de uso","Sim: integrante e autor do enunciado e da suite deste kata","ae82ed3","Sequencia formal S1-S4 ainda nao foi sorteada pelo grupo (ordem ad hoc); exposicao previa forte (autor do kata), registrada para nao ser confundida com efeito do tratamento; sem uso de assistente de IA, conforme SEM_IA"
JoseMiguel,MetaProducao,SEM_IA,,,True,26,26,APROVADO,3.13.12,VSCode,NA,NA,"1 a 1,5 anos de uso","Sim: integrante e autor do enunciado e da suite deste kata","ae82ed3","Sequencia formal S1-S4 ainda nao foi sorteada pelo grupo (ordem ad hoc); exposicao previa forte (autor do kata), registrada para nao ser confundida com efeito do tratamento; sem uso de assistente de IA, conforme SEM_IA"
Eddie,MetaProducao,COM_IA,,,True,26,26,APROVADO,3.9.6,,Codex,GPT-6,,Sim: assistente teve acesso ao projeto e aos testes durante a implementação.,,"Participante confirmou 26/26 antes do fim do cronômetro. Início/fim somam 842 s, mas tempo_segundos registra 639,87 s. Intervalo sobreposto ao de ConsumoEnergetico; verificar registros originais."
Eddie,ConsumoEnergetico,COM_IA,,,True,26,26,APROVADO,3.9.6,,Codex,GPT-6,,Sim: assistente teve acesso ao projeto e aos testes durante a implementação.,,"Participante confirmou 26/26 antes do fim do cronômetro. Início/fim somam 887 s, mas tempo_segundos registra 685,11 s. Intervalo sobreposto ao de MetaProducao; verificar registros originais."
Eddie,ExcessoBagagem,SEM_IA,,,True,26,26,APROVADO,3.9.6,,NA,NA,,Sim: solução da base de testes elaborada com assistência do Codex.,,Participante confirmou 26/26 antes do fim do cronômetro. Solução de prática assistida; não representa uma observação sem assistência. Intervalo sobreposto ao de ReposicaoEstoque.
Eddie,ReposicaoEstoque,SEM_IA,,,True,26,26,APROVADO,3.9.6,,NA,NA,,Sim: solução da base de testes elaborada com assistência do Codex.,,Participante confirmou 26/26 antes do fim do cronômetro. Solução de prática assistida; não representa uma observação sem assistência. Intervalo sobreposto ao de ExcessoBagagem.
Pedro,ReposicaoEstoque,COM_IA,,,True,26,26,APROVADO,,VSCode,,,"1 ano de uso",,"9866b41","python/assistente/modelo/exposicao_previa nao informados pelo Pedro, deixados em branco (sem imputacao). ide e familiaridade_python confirmados pelo proprio Pedro. concluido/casos_aprovados/status_testes verificados objetivamente reexecutando a suite sobre a solucao salva. Tempo registrado (26,01s) e consistente com o intervalo inicio-fim em tempos_trials.csv."
Pedro,ExcessoBagagem,COM_IA,,,True,26,26,APROVADO,,VSCode,,,"1 ano de uso",,"9866b41","python/assistente/modelo/exposicao_previa nao informados pelo Pedro, deixados em branco (sem imputacao). ide e familiaridade_python confirmados pelo proprio Pedro. concluido/casos_aprovados/status_testes verificados objetivamente reexecutando a suite. Tempo registrado (21,01s) e consistente com o intervalo inicio-fim em tempos_trials.csv."
Pedro,MetaProducao,SEM_IA,,,True,26,26,APROVADO,,VSCode,NA,NA,"1 ano de uso",,"ae82ed3","python/exposicao_previa nao informados pelo Pedro, deixados em branco (sem imputacao); assistente/modelo=NA por ser SEM_IA. ide e familiaridade_python confirmados pelo proprio Pedro. concluido/casos_aprovados/status_testes verificados objetivamente. ALERTA DE QUALIDADE DE DADO: tempo_segundos (690,01s) nao bate com a diferenca entre inicio e fim em tempos_trials.csv (2026-09-24T21:53:36 a 21:53:56, ~20s de diferenca) - mesma inconsistencia que Eddie reportou nos proprios registros; verificar o dado bruto antes de usar em H1."
Pedro,ConsumoEnergetico,SEM_IA,,,True,26,26,APROVADO,,VSCode,NA,NA,"1 ano de uso",,"ae82ed3","python/exposicao_previa nao informados pelo Pedro, deixados em branco (sem imputacao); assistente/modelo=NA por ser SEM_IA. ide e familiaridade_python confirmados pelo proprio Pedro. concluido/casos_aprovados/status_testes verificados objetivamente. ALERTA DE QUALIDADE DE DADO: tempo_segundos (775,01s) nao bate com a diferenca entre inicio e fim em tempos_trials.csv (2026-09-24T22:09:27 a 22:09:45, ~18s de diferenca) - mesma inconsistencia que Eddie reportou nos proprios registros; verificar o dado bruto antes de usar em H1."
